"id","date","fear_greed_index","fear_greed_rating","vix","created_at","qqq_close","smh_close","spx_close","dji_close"
"22330","21/6/2022 00:00:00","19.7286",,"30.19","12/4/2026 22:56:10","274.6","103.15","3764.79","30530.25"
"22331","22/6/2022 00:00:00","26.8857",,"28.95","12/4/2026 22:56:10","274.2","101.69","3759.89","30483.13"
"22332","23/6/2022 00:00:00","26.7429",,"29.05","12/4/2026 22:56:10","278.29","101.17","3795.73","30677.36"
"22333","24/6/2022 00:00:00","30.8571",,"27.23","12/4/2026 22:56:10","287.82","105.43","3911.74","31500.68"
"22335","27/6/2022 00:00:00","30.7714",,"26.95","12/4/2026 22:56:10","285.71","105.08","3900.11","31438.26"
"22336","28/6/2022 00:00:00","28.1429",,"28.36","12/4/2026 22:56:10","277.01","102.43","3821.55","30946.99"
"22337","29/6/2022 00:00:00","26.5429",,"28.16","12/4/2026 22:56:10","277.26","100.62","3818.83","31029.31"
"22338","30/6/2022 00:00:00","24.3714",,"28.71","12/4/2026 22:56:10","273.82","99.37","3785.38","30775.43"
"22339","1/7/2022 00:00:00","24.5714",,"26.7","12/4/2026 22:56:10","275.63","95.59","3825.33","31097.26"
"23084","14/4/2025 00:00:00","12.3429","extreme fear","30.89","12/4/2026 22:56:10","455.28","200.98","5405.97","40524.79"
"23085","15/4/2025 00:00:00","13.1143","extreme fear","30.12","12/4/2026 22:56:10","455.78","202.29","5396.63","40368.96"
"23086","16/4/2025 00:00:00","11.1429","extreme fear","32.64","12/4/2026 22:56:10","442.04","193.75","5275.7","39669.39"
"23087","17/4/2025 00:00:00","16.0571","extreme fear","29.65","12/4/2026 22:56:10","441.96","191.93","5282.7","39142.23"
"23089","21/4/2025 00:00:00","12.3714","extreme fear","33.82","12/4/2026 22:56:10","431.02","187.25","5158.2","38170.41"
"23090","22/4/2025 00:00:00","13.6","extreme fear","30.57","12/4/2026 22:56:10","442.34","191.3","5287.76","39186.98"
